Optical Power Monitor
1.0.2149.55
Delimiter Used: Tab

Start of Measurement 	 8/22/2018 19:37:25
Sample Interval 	 1 s
	 PM100D 15111301
Type	 PM100D
Serialnumber	 PM001960
Sensor	 S120VC
SensorSerialnumber	 15111301
Wavelength / Responsivity	 470 nm

			PM100D 15111301	 
Samples 	Date (MM/dd/yyyy) 	Time of day (hh:mm:ss) 	Power (W)	
0	 8/22/2018	 19:37:25	5.517E-06
1	 8/22/2018	 19:37:26	5.187E-06
2	 8/22/2018	 19:37:27	4.17E-06
3	 8/22/2018	 19:37:28	2.195E-08
4	 8/22/2018	 19:37:29	1.809E-08
5	 8/22/2018	 19:37:30	1.721E-08
6	 8/22/2018	 19:37:32	8.429E-09
7	 8/22/2018	 19:37:33	7.319E-06
8	 8/22/2018	 19:37:34	2.299E-05
9	 8/22/2018	 19:37:35	2.754E-05
10	 8/22/2018	 19:37:36	2.828E-05
11	 8/22/2018	 19:37:37	2.825E-05
12	 8/22/2018	 19:37:38	2.83E-05
13	 8/22/2018	 19:37:39	2.83E-05
14	 8/22/2018	 19:37:40	1.884E-05
15	 8/22/2018	 19:37:41	1.967E-07
16	 8/22/2018	 19:37:42	5.123E-08
17	 8/22/2018	 19:37:43	3.154E-08
18	 8/22/2018	 19:37:44	2.989E-08
19	 8/22/2018	 19:37:45	2.186E-08
20	 8/22/2018	 19:37:46	9.236E-06
21	 8/22/2018	 19:37:47	2.814E-05
22	 8/22/2018	 19:37:48	2.839E-05
23	 8/22/2018	 19:37:49	2.839E-05
24	 8/22/2018	 19:37:50	2.84E-05
25	 8/22/2018	 19:37:51	2.843E-05
26	 8/22/2018	 19:37:52	2.451E-05
27	 8/22/2018	 19:37:53	1.859E-06
28	 8/22/2018	 19:37:54	6.841E-08
29	 8/22/2018	 19:37:55	5.893E-08
30	 8/22/2018	 19:37:56	4.29E-08
31	 8/22/2018	 19:37:57	4.489E-08
32	 8/22/2018	 19:37:58	3.649E-08
33	 8/22/2018	 19:37:59	1.043E-05
34	 8/22/2018	 19:38:00	2.76E-05
35	 8/22/2018	 19:38:01	2.867E-05
36	 8/22/2018	 19:38:02	2.861E-05
37	 8/22/2018	 19:38:03	2.868E-05
38	 8/22/2018	 19:38:04	2.869E-05
39	 8/22/2018	 19:38:05	1.689E-05
40	 8/22/2018	 19:38:06	3.768E-07
41	 8/22/2018	 19:38:07	7.238E-08
42	 8/22/2018	 19:38:08	6.667E-08
43	 8/22/2018	 19:38:09	5.413E-08
44	 8/22/2018	 19:38:11	1.465E-07
45	 8/22/2018	 19:38:12	1.612E-05
46	 8/22/2018	 19:38:13	2.77E-05
47	 8/22/2018	 19:38:14	2.816E-05
48	 8/22/2018	 19:38:15	2.821E-05
49	 8/22/2018	 19:38:16	2.822E-05
50	 8/22/2018	 19:38:17	2.821E-05
51	 8/22/2018	 19:38:18	1.584E-05
52	 8/22/2018	 19:38:19	3.14E-07
53	 8/22/2018	 19:38:20	7.4E-08
54	 8/22/2018	 19:38:21	5.781E-08
55	 8/22/2018	 19:38:22	4.375E-08
56	 8/22/2018	 19:38:23	3.798E-08
57	 8/22/2018	 19:38:24	1.412E-05
58	 8/22/2018	 19:38:25	2.831E-05
59	 8/22/2018	 19:38:26	2.847E-05
60	 8/22/2018	 19:38:27	2.835E-05
61	 8/22/2018	 19:38:28	2.835E-05
62	 8/22/2018	 19:38:29	2.833E-05
63	 8/22/2018	 19:38:30	1.42E-05
64	 8/22/2018	 19:38:31	1.719E-07
65	 8/22/2018	 19:38:32	6.014E-08
66	 8/22/2018	 19:38:33	3.998E-08
67	 8/22/2018	 19:38:34	3.189E-08
68	 8/22/2018	 19:38:35	1.941E-08
69	 8/22/2018	 19:38:36	1.285E-05
70	 8/22/2018	 19:38:37	2.703E-05
71	 8/22/2018	 19:38:38	2.838E-05
72	 8/22/2018	 19:38:39	2.85E-05
73	 8/22/2018	 19:38:40	2.852E-05
74	 8/22/2018	 19:38:41	2.845E-05
75	 8/22/2018	 19:38:42	2.848E-05
76	 8/22/2018	 19:38:43	2.843E-05
77	 8/22/2018	 19:38:44	2.108E-05
78	 8/22/2018	 19:38:45	2.689E-06
79	 8/22/2018	 19:38:46	5.467E-08
80	 8/22/2018	 19:38:47	4.351E-08
81	 8/22/2018	 19:38:48	3.311E-08
82	 8/22/2018	 19:38:49	3.184E-08
83	 8/22/2018	 19:38:50	1.273E-05
84	 8/22/2018	 19:38:51	2.823E-05
85	 8/22/2018	 19:38:52	2.868E-05
86	 8/22/2018	 19:38:53	2.868E-05
87	 8/22/2018	 19:38:54	2.871E-05
88	 8/22/2018	 19:38:55	2.873E-05
89	 8/22/2018	 19:38:56	7.88E-06
90	 8/22/2018	 19:38:57	8.035E-08
91	 8/22/2018	 19:38:58	6.095E-08
92	 8/22/2018	 19:38:59	4.831E-08
93	 8/22/2018	 19:39:00	4.197E-08
94	 8/22/2018	 19:39:01	3.484E-06
95	 8/22/2018	 19:39:02	2.381E-05
96	 8/22/2018	 19:39:04	2.843E-05
97	 8/22/2018	 19:39:05	2.854E-05
98	 8/22/2018	 19:39:06	2.858E-05
99	 8/22/2018	 19:39:07	2.854E-05
100	 8/22/2018	 19:39:08	1.438E-05
101	 8/22/2018	 19:39:09	1.352E-07
102	 8/22/2018	 19:39:10	7.351E-08
103	 8/22/2018	 19:39:11	5.928E-08
104	 8/22/2018	 19:39:12	5.045E-08
105	 8/22/2018	 19:39:13	9.867E-08
106	 8/22/2018	 19:39:14	1.526E-05
107	 8/22/2018	 19:39:15	2.846E-05
108	 8/22/2018	 19:39:16	2.86E-05
109	 8/22/2018	 19:39:17	2.864E-05
110	 8/22/2018	 19:39:18	2.864E-05
111	 8/22/2018	 19:39:19	2.864E-05
112	 8/22/2018	 19:39:20	1.19E-05
113	 8/22/2018	 19:39:21	1.075E-07
114	 8/22/2018	 19:39:22	5.365E-08
115	 8/22/2018	 19:39:23	3.313E-08
116	 8/22/2018	 19:39:24	2.522E-08
117	 8/22/2018	 19:39:25	4.02E-06
118	 8/22/2018	 19:39:26	2.128E-05
119	 8/22/2018	 19:39:27	2.872E-05
120	 8/22/2018	 19:39:28	2.883E-05
121	 8/22/2018	 19:39:29	2.877E-05
122	 8/22/2018	 19:39:30	2.871E-05
123	 8/22/2018	 19:39:31	1.062E-05
124	 8/22/2018	 19:39:32	8.183E-08
125	 8/22/2018	 19:39:33	5.704E-08
126	 8/22/2018	 19:39:34	3.509E-08
127	 8/22/2018	 19:39:35	2.531E-08
128	 8/22/2018	 19:39:36	7.325E-07
129	 8/22/2018	 19:39:37	2.061E-05
130	 8/22/2018	 19:39:38	2.841E-05
131	 8/22/2018	 19:39:39	2.873E-05
132	 8/22/2018	 19:39:40	2.866E-05
133	 8/22/2018	 19:39:41	2.862E-05
134	 8/22/2018	 19:39:42	2.863E-05
135	 8/22/2018	 19:39:43	1.502E-05
136	 8/22/2018	 19:39:44	2.63E-07
137	 8/22/2018	 19:39:45	6.763E-08
138	 8/22/2018	 19:39:46	5.535E-08
139	 8/22/2018	 19:39:47	4.875E-08
140	 8/22/2018	 19:39:48	9.838E-08
141	 8/22/2018	 19:39:49	1.593E-05
142	 8/22/2018	 19:39:50	2.831E-05
143	 8/22/2018	 19:39:51	2.905E-05
