Optical Power Monitor
1.0.2149.55
Delimiter Used: Tab

Start of Measurement 	 9/8/2018 10:44:26
Sample Interval 	 1 s
	 PM100D 15111301
Type	 PM100D
Serialnumber	 PM001960
Sensor	 S120VC
SensorSerialnumber	 15111301
Wavelength / Responsivity	 470 nm

			PM100D 15111301	 
Samples 	Date (MM/dd/yyyy) 	Time of day (hh:mm:ss) 	Irradiance (W/cm²)	
0	 9/8/2018	 10:44:26	3.554E-08
1	 9/8/2018	 10:44:28	-4.65E-11
2	 9/8/2018	 10:44:29	-1.388E-08
3	 9/8/2018	 10:44:30	-1.03E-08
4	 9/8/2018	 10:44:31	-1.236E-08
5	 9/8/2018	 10:44:32	-1.75E-08
6	 9/8/2018	 10:44:33	2.892E-05
7	 9/8/2018	 10:44:34	0.0001078
8	 9/8/2018	 10:44:35	0.00011
9	 9/8/2018	 10:44:36	0.00011
10	 9/8/2018	 10:44:37	0.00011
11	 9/8/2018	 10:44:38	0.00011
12	 9/8/2018	 10:44:39	3.72E-05
13	 9/8/2018	 10:44:40	1.951E-07
14	 9/8/2018	 10:44:41	1.287E-07
15	 9/8/2018	 10:44:42	9.255E-08
16	 9/8/2018	 10:44:43	2.899E-05
17	 9/8/2018	 10:44:44	8.797E-05
18	 9/8/2018	 10:44:45	8.787E-05
19	 9/8/2018	 10:44:46	8.803E-05
20	 9/8/2018	 10:44:47	8.944E-05
21	 9/8/2018	 10:44:48	8.941E-05
22	 9/8/2018	 10:44:49	4.408E-05
23	 9/8/2018	 10:44:50	2.22E-07
24	 9/8/2018	 10:44:51	1.163E-07
25	 9/8/2018	 10:44:52	8.632E-08
26	 9/8/2018	 10:44:53	6.807E-08
27	 9/8/2018	 10:44:54	2.073E-05
28	 9/8/2018	 10:44:55	9.991E-05
29	 9/8/2018	 10:44:56	0.0001023
30	 9/8/2018	 10:44:57	0.000102
31	 9/8/2018	 10:44:58	0.0001022
32	 9/8/2018	 10:44:59	0.0001026
33	 9/8/2018	 10:45:00	0.0001026
34	 9/8/2018	 10:45:01	7.756E-05
35	 9/8/2018	 10:45:02	3.31E-07
36	 9/8/2018	 10:45:03	1.695E-07
37	 9/8/2018	 10:45:04	1.313E-07
38	 9/8/2018	 10:45:05	2.516E-05
39	 9/8/2018	 10:45:06	0.0001043
40	 9/8/2018	 10:45:07	0.0001049
41	 9/8/2018	 10:45:08	0.0001051
42	 9/8/2018	 10:45:09	0.0001057
43	 9/8/2018	 10:45:10	0.0001057
44	 9/8/2018	 10:45:11	0.0001058
45	 9/8/2018	 10:45:12	5.659E-05
46	 9/8/2018	 10:45:13	2.669E-07
47	 9/8/2018	 10:45:14	1.779E-07
48	 9/8/2018	 10:45:15	1.288E-07
49	 9/8/2018	 10:45:16	3.8E-05
50	 9/8/2018	 10:45:17	9.465E-05
51	 9/8/2018	 10:45:18	9.502E-05
52	 9/8/2018	 10:45:19	9.528E-05
53	 9/8/2018	 10:45:20	9.552E-05
54	 9/8/2018	 10:45:21	9.538E-05
55	 9/8/2018	 10:45:23	9.559E-05
56	 9/8/2018	 10:45:24	4.78E-05
57	 9/8/2018	 10:45:25	2.592E-07
58	 9/8/2018	 10:45:26	1.69E-07
59	 9/8/2018	 10:45:27	1.35E-07
