Optical Power Monitor
1.0.2149.55
Delimiter Used: Tab

Start of Measurement 	 8/22/2018 19:26:53
Sample Interval 	 1 s
	 PM100D 15111301
Type	 PM100D
Serialnumber	 PM001960
Sensor	 S120VC
SensorSerialnumber	 15111301
Wavelength / Responsivity	 470 nm

			PM100D 15111301	 
Samples 	Date (MM/dd/yyyy) 	Time of day (hh:mm:ss) 	Power (W)	
0	 8/22/2018	 19:26:53	-3.076E-09
1	 8/22/2018	 19:26:54	2.449E-08
2	 8/22/2018	 19:26:55	3.301E-08
3	 8/22/2018	 19:26:56	4.038E-08
4	 8/22/2018	 19:26:57	3.236E-08
5	 8/22/2018	 19:26:58	2.31E-08
6	 8/22/2018	 19:26:59	1.179E-05
7	 8/22/2018	 19:27:00	1.843E-05
8	 8/22/2018	 19:27:01	3.047E-05
9	 8/22/2018	 19:27:02	3.093E-05
10	 8/22/2018	 19:27:03	3.098E-05
11	 8/22/2018	 19:27:04	3.096E-05
12	 8/22/2018	 19:27:05	3.1E-05
13	 8/22/2018	 19:27:07	3.099E-05
14	 8/22/2018	 19:27:08	3.095E-05
15	 8/22/2018	 19:27:09	2.22E-05
16	 8/22/2018	 19:27:10	7.62E-07
17	 8/22/2018	 19:27:11	6.063E-08
18	 8/22/2018	 19:27:12	3.845E-08
19	 8/22/2018	 19:27:13	3.355E-08
20	 8/22/2018	 19:27:14	2.294E-08
21	 8/22/2018	 19:27:15	2.782E-08
22	 8/22/2018	 19:27:16	2.784E-06
23	 8/22/2018	 19:27:17	2.705E-05
24	 8/22/2018	 19:27:18	3.005E-05
25	 8/22/2018	 19:27:19	3.002E-05
26	 8/22/2018	 19:27:20	3.001E-05
27	 8/22/2018	 19:27:21	3.007E-05
28	 8/22/2018	 19:27:22	3.006E-05
29	 8/22/2018	 19:27:23	3.005E-05
30	 8/22/2018	 19:27:24	2.365E-05
31	 8/22/2018	 19:27:25	1.214E-06
32	 8/22/2018	 19:27:26	9.284E-08
33	 8/22/2018	 19:27:27	7.45E-08
34	 8/22/2018	 19:27:28	5.805E-08
35	 8/22/2018	 19:27:29	5.774E-08
36	 8/22/2018	 19:27:30	3.827E-08
37	 8/22/2018	 19:27:31	3.321E-08
38	 8/22/2018	 19:27:32	1.452E-05
39	 8/22/2018	 19:27:33	2.978E-05
40	 8/22/2018	 19:27:34	3.022E-05
