Optical Power Monitor
1.0.2149.55
Delimiter Used: Tab

Start of Measurement 	 8/23/2018 13:15:29
Sample Interval 	 1 s
	 PM100D 15111301
Type	 PM100D
Serialnumber	 PM001960
Sensor	 S120VC
SensorSerialnumber	 15111301
Wavelength / Responsivity	 470 nm

			PM100D 15111301	 
Samples 	Date (MM/dd/yyyy) 	Time of day (hh:mm:ss) 	Power (W)	
0	 8/23/2018	 13:15:29	-2.193E-08
1	 8/23/2018	 13:15:31	5.671E-09
2	 8/23/2018	 13:15:32	1.03E-08
3	 8/23/2018	 13:15:33	1.204E-08
4	 8/23/2018	 13:15:34	7.258E-09
5	 8/23/2018	 13:15:35	7.87E-06
6	 8/23/2018	 13:15:36	2.707E-05
7	 8/23/2018	 13:15:37	2.733E-05
8	 8/23/2018	 13:15:38	2.736E-05
9	 8/23/2018	 13:15:39	2.741E-05
10	 8/23/2018	 13:15:40	1.662E-05
11	 8/23/2018	 13:15:41	6.907E-08
12	 8/23/2018	 13:15:42	3.811E-08
13	 8/23/2018	 13:15:43	2.554E-08
14	 8/23/2018	 13:15:44	1.563E-05
15	 8/23/2018	 13:15:45	3.15E-05
16	 8/23/2018	 13:15:46	3.245E-05
17	 8/23/2018	 13:15:47	3.249E-05
18	 8/23/2018	 13:15:48	1.955E-05
19	 8/23/2018	 13:15:49	8.791E-08
20	 8/23/2018	 13:15:50	5.574E-08
21	 8/23/2018	 13:15:51	4.039E-08
22	 8/23/2018	 13:15:52	7.934E-06
23	 8/23/2018	 13:15:53	2.617E-05
24	 8/23/2018	 13:15:54	3.103E-05
25	 8/23/2018	 13:15:55	3.115E-05
26	 8/23/2018	 13:15:56	3.114E-05
27	 8/23/2018	 13:15:57	2.041E-05
28	 8/23/2018	 13:15:58	6.292E-07
29	 8/23/2018	 13:15:59	7.896E-08
30	 8/23/2018	 13:16:00	6.358E-08
31	 8/23/2018	 13:16:01	3.995E-06
32	 8/23/2018	 13:16:02	2.802E-05
33	 8/23/2018	 13:16:03	3.188E-05
34	 8/23/2018	 13:16:04	3.186E-05
35	 8/23/2018	 13:16:05	3.175E-05
36	 8/23/2018	 13:16:06	2.096E-05
37	 8/23/2018	 13:16:08	4.137E-07
38	 8/23/2018	 13:16:09	7.763E-08
39	 8/23/2018	 13:16:10	5.582E-08
40	 8/23/2018	 13:16:11	1.239E-05
41	 8/23/2018	 13:16:12	2.842E-05
42	 8/23/2018	 13:16:13	2.867E-05
43	 8/23/2018	 13:16:14	2.867E-05
44	 8/23/2018	 13:16:15	1.962E-05
45	 8/23/2018	 13:16:16	3.806E-07
46	 8/23/2018	 13:16:17	5.436E-08
47	 8/23/2018	 13:16:18	3.877E-08
48	 8/23/2018	 13:16:19	5.568E-06
49	 8/23/2018	 13:16:20	2.579E-05
50	 8/23/2018	 13:16:21	2.735E-05
51	 8/23/2018	 13:16:22	2.739E-05
52	 8/23/2018	 13:16:23	2.74E-05
53	 8/23/2018	 13:16:24	2.736E-05
54	 8/23/2018	 13:16:25	1.672E-05
55	 8/23/2018	 13:16:26	2.686E-07
56	 8/23/2018	 13:16:27	6.409E-08
57	 8/23/2018	 13:16:28	4.375E-08
58	 8/23/2018	 13:16:29	6.364E-06
59	 8/23/2018	 13:16:30	2.569E-05
60	 8/23/2018	 13:16:31	2.854E-05
61	 8/23/2018	 13:16:32	2.856E-05
