Optical Power Monitor
1.0.2149.55
Delimiter Used: Tab

Start of Measurement 	 8/23/2018 13:49:42
Sample Interval 	 1 s
	 PM100D 15111301
Type	 PM100D
Serialnumber	 PM001960
Sensor	 S120VC
SensorSerialnumber	 15111301
Wavelength / Responsivity	 470 nm

			PM100D 15111301	 
Samples 	Date (MM/dd/yyyy) 	Time of day (hh:mm:ss) 	Power (W)	
0	 8/23/2018	 13:49:42	3.778E-08
1	 8/23/2018	 13:49:43	3.605E-08
2	 8/23/2018	 13:49:44	3.803E-08
3	 8/23/2018	 13:49:45	3.823E-08
4	 8/23/2018	 13:49:46	3.808E-08
5	 8/23/2018	 13:49:47	3.811E-08
6	 8/23/2018	 13:49:48	3.17E-08
7	 8/23/2018	 13:49:49	1.028E-05
8	 8/23/2018	 13:49:50	2.372E-05
9	 8/23/2018	 13:49:51	2.207E-05
10	 8/23/2018	 13:49:52	2.768E-05
11	 8/23/2018	 13:49:53	2.822E-05
12	 8/23/2018	 13:49:54	2.819E-05
13	 8/23/2018	 13:49:55	2.82E-05
14	 8/23/2018	 13:49:56	2.823E-05
15	 8/23/2018	 13:49:57	2.823E-05
16	 8/23/2018	 13:49:58	2.818E-05
17	 8/23/2018	 13:49:59	2.825E-05
18	 8/23/2018	 13:50:00	1.579E-05
19	 8/23/2018	 13:50:01	1.002E-07
20	 8/23/2018	 13:50:02	7.656E-08
21	 8/23/2018	 13:50:04	5.58E-08
22	 8/23/2018	 13:50:05	4.622E-08
23	 8/23/2018	 13:50:06	4.289E-08
24	 8/23/2018	 13:50:07	4.019E-08
25	 8/23/2018	 13:50:08	2.782E-08
26	 8/23/2018	 13:50:09	1.407E-05
27	 8/23/2018	 13:50:10	2.804E-05
28	 8/23/2018	 13:50:11	2.829E-05
29	 8/23/2018	 13:50:12	2.829E-05
30	 8/23/2018	 13:50:13	2.831E-05
31	 8/23/2018	 13:50:14	2.829E-05
32	 8/23/2018	 13:50:15	2.833E-05
33	 8/23/2018	 13:50:16	2.83E-05
34	 8/23/2018	 13:50:17	1.487E-05
35	 8/23/2018	 13:50:18	9.41E-08
36	 8/23/2018	 13:50:19	6.241E-08
37	 8/23/2018	 13:50:20	4.108E-08
38	 8/23/2018	 13:50:21	3.668E-08
39	 8/23/2018	 13:50:22	2.446E-08
40	 8/23/2018	 13:50:23	2.027E-08
41	 8/23/2018	 13:50:24	7.785E-08
42	 8/23/2018	 13:50:25	1.939E-05
43	 8/23/2018	 13:50:26	2.804E-05
44	 8/23/2018	 13:50:27	2.807E-05
45	 8/23/2018	 13:50:28	2.807E-05
46	 8/23/2018	 13:50:29	2.809E-05
47	 8/23/2018	 13:50:30	2.811E-05
48	 8/23/2018	 13:50:31	2.813E-05
49	 8/23/2018	 13:50:32	2.827E-05
50	 8/23/2018	 13:50:33	1.516E-05
51	 8/23/2018	 13:50:34	9.875E-08
52	 8/23/2018	 13:50:35	6.371E-08
53	 8/23/2018	 13:50:36	2.934E-08
54	 8/23/2018	 13:50:37	2.979E-08
55	 8/23/2018	 13:50:38	2.435E-08
56	 8/23/2018	 13:50:39	2.091E-08
57	 8/23/2018	 13:50:40	3.601E-07
58	 8/23/2018	 13:50:41	2.058E-05
59	 8/23/2018	 13:50:42	2.238E-05
60	 8/23/2018	 13:50:43	2.839E-05
61	 8/23/2018	 13:50:44	2.842E-05
62	 8/23/2018	 13:50:45	2.845E-05
63	 8/23/2018	 13:50:46	2.846E-05
64	 8/23/2018	 13:50:47	2.849E-05
65	 8/23/2018	 13:50:48	2.853E-05
66	 8/23/2018	 13:50:49	2.848E-05
67	 8/23/2018	 13:50:50	2.85E-05
68	 8/23/2018	 13:50:52	2.853E-05
69	 8/23/2018	 13:50:53	1.628E-05
70	 8/23/2018	 13:50:54	1.091E-07
71	 8/23/2018	 13:50:55	7.043E-08
72	 8/23/2018	 13:50:56	5.579E-08
73	 8/23/2018	 13:50:57	4.694E-08
74	 8/23/2018	 13:50:58	4.5E-08
75	 8/23/2018	 13:50:59	3.742E-08
76	 8/23/2018	 13:51:00	1.274E-07
77	 8/23/2018	 13:51:01	1.798E-05
78	 8/23/2018	 13:51:02	2.846E-05
79	 8/23/2018	 13:51:03	2.878E-05
80	 8/23/2018	 13:51:04	2.886E-05
81	 8/23/2018	 13:51:05	2.881E-05
82	 8/23/2018	 13:51:06	2.886E-05
83	 8/23/2018	 13:51:07	2.884E-05
84	 8/23/2018	 13:51:08	2.881E-05
85	 8/23/2018	 13:51:09	2.067E-05
86	 8/23/2018	 13:51:10	7.424E-07
87	 8/23/2018	 13:51:11	6.915E-08
88	 8/23/2018	 13:51:12	4.518E-08
89	 8/23/2018	 13:51:13	3.689E-08
90	 8/23/2018	 13:51:14	2.029E-08
91	 8/23/2018	 13:51:15	2.16E-08
92	 8/23/2018	 13:51:16	1.553E-07
93	 8/23/2018	 13:51:17	∞
94	 8/23/2018	 13:51:18	2.913E-05
95	 8/23/2018	 13:51:19	2.93E-05
96	 8/23/2018	 13:51:20	2.933E-05
97	 8/23/2018	 13:51:21	2.933E-05
98	 8/23/2018	 13:51:22	2.932E-05
99	 8/23/2018	 13:51:23	2.931E-05
100	 8/23/2018	 13:51:24	2.932E-05
101	 8/23/2018	 13:51:25	2.931E-05
102	 8/23/2018	 13:51:26	2.929E-05
103	 8/23/2018	 13:51:27	2.931E-05
104	 8/23/2018	 13:51:28	2.921E-05
105	 8/23/2018	 13:51:29	2.174E-05
106	 8/23/2018	 13:51:30	5.777E-07
107	 8/23/2018	 13:51:31	6.453E-08
108	 8/23/2018	 13:51:32	3.883E-08
109	 8/23/2018	 13:51:33	2.15E-08
110	 8/23/2018	 13:51:34	1.958E-08
111	 8/23/2018	 13:51:35	1.285E-08
112	 8/23/2018	 13:51:36	1.458E-07
113	 8/23/2018	 13:51:37	1.964E-05
114	 8/23/2018	 13:51:38	2.855E-05
115	 8/23/2018	 13:51:39	2.859E-05
116	 8/23/2018	 13:51:41	2.853E-05
117	 8/23/2018	 13:51:42	2.858E-05
118	 8/23/2018	 13:51:43	2.86E-05
119	 8/23/2018	 13:51:44	2.858E-05
120	 8/23/2018	 13:51:45	2.82E-05
121	 8/23/2018	 13:51:46	7.955E-06
122	 8/23/2018	 13:51:47	7.875E-08
123	 8/23/2018	 13:51:48	4.108E-08
124	 8/23/2018	 13:51:49	4.15E-08
125	 8/23/2018	 13:51:50	1.697E-08
126	 8/23/2018	 13:51:51	8.529E-09
127	 8/23/2018	 13:51:52	1.099E-08
128	 8/23/2018	 13:51:53	1.375E-07
129	 8/23/2018	 13:51:54	1.944E-05
130	 8/23/2018	 13:51:55	2.809E-05
131	 8/23/2018	 13:51:56	2.816E-05
132	 8/23/2018	 13:51:57	2.815E-05
133	 8/23/2018	 13:51:58	2.815E-05
134	 8/23/2018	 13:51:59	2.816E-05
135	 8/23/2018	 13:52:00	2.819E-05
136	 8/23/2018	 13:52:01	2.826E-05
137	 8/23/2018	 13:52:02	1.095E-05
138	 8/23/2018	 13:52:03	7.976E-08
